년,월,국적지역,체류외국인수
2022,03,콩고민주공화국,267
2022,03,쿠바,38
2022,03,쿠웨이트,70
2022,03,크로아티아,114
2022,03,키르기즈,6479
2022,03,키리바시,1
2022,03,키프로스,31
2022,03,태국,171261
2022,03,타이완,18738
2022,03,타지키스탄,1287
2022,03,탄자니아,327
2022,03,터키,2099
2022,03,토고,46
2022,03,통가,5
2022,03,투르크메니스탄,443
2022,03,튀니지,341
2022,03,트리니다드토바고,24
2022,03,티모르민주공화국,2553
2022,03,파나마,82
2022,03,파라과이,207
2022,03,파키스탄,12495
2022,03,파푸아뉴기니,13
2022,03,팔라우,10
2022,03,팔레스타인,66
2022,03,페루,746
2022,03,포르투갈,207
2022,03,폴란드,603
2022,03,프랑스,5773
2022,03,피지,73
2022,03,핀란드,372
2022,03,필리핀,46825
2022,03,한국계중국인,609084
2022,03,헝가리,230
2022,03,홍콩,2471
2022,03,홍콩거주난민,14
2022,04,미상,1
2022,04,가나,1385
2022,04,가봉,93
2022,04,가이아나,5
2022,04,감비아,128
2022,04,과테말라,127
2022,04,교황청,3
2022,04,국제연합,57
2022,04,그레나다,1
2022,04,그리스,313
2022,04,기니,268
2022,04,기니비사우,21
2022,04,나미비아,1
2022,04,나우루,5
2022,04,나이지리아,2811
2022,04,남수단공화국,26
2022,04,남아프리카공화국,3103
2022,04,네덜란드,1501
2022,04,네팔,38167
2022,04,노르웨이,480
2022,04,뉴질랜드,3652
2022,04,니제르,9
2022,04,니카라과,46
2022,04,덴마크,496
2022,04,도미니카공화국,118
2022,04,도미니카연방,20
2022,04,독일,5334
2022,04,라오스,1964
2022,04,라이베리아,522
2022,04,라트비아,88
2022,04,러시아연방,49443
2022,04,레바논,62
2022,04,레소토,7
2022,04,루마니아,386
2022,04,룩셈부르크,28
2022,04,르완다,275
2022,04,리비아,777
2022,04,리투아니아,174
2022,04,마다가스카르,33
2022,04,마샬군도,16
2022,04,마카오,107
2022,04,말라위,38
2022,04,말레이시아,5453
2022,04,말리,222
2022,04,멕시코,1244
2022,04,모로코,1472
2022,04,모리셔스,22
2022,04,모리타니,15
2022,04,모잠비크,46
2022,04,몬테네그로,10
2022,04,몰도바,54
2022,04,몰디브,3
2022,04,몰타,18
2022,04,몽골,38067
2022,04,무국적,146
2022,04,미국,153528
2022,04,미등록국가,54
2022,04,미상,1
2022,04,미얀마,26434
2022,04,미이크로네시아,10
2022,04,바누아투,18
2022,04,바레인,12
2022,04,바베이도스,9
2022,04,바하마,6
2022,04,방글라데시,17668
