대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8,E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
유럽주,영국,여성,31,29,1043,2,0,1,1,0,229,0,33,3,2,1,6,4,22,11,1061,1,0,0,15,162,0,0,0,24,88,120,627,47,246,2,62,0,3,21
유럽주,독일,남성,39,29,1207,4,0,1,3,0,416,0,21,1,9,15,161,31,10,55,7,21,2,8,15,88,0,0,0,24,39,68,324,126,304,1,54,0,0,9
유럽주,독일,여성,46,35,1216,1,0,0,1,0,703,0,81,1,9,4,8,1,18,6,10,7,0,0,28,56,0,0,0,7,49,120,566,54,159,0,208,0,0,58
유럽주,우크라이나,남성,13,6,1,30,0,43,9,0,25,0,2,0,2,3,1,37,2,0,0,12,1,0,42,24,0,1,0,342,32,79,1192,83,30,61,0,178,0,10
유럽주,우크라이나,여성,18,7,0,3,0,62,30,0,104,0,124,0,0,0,3,1,18,1,1,3,0,0,112,14,0,0,0,482,52,113,1095,58,231,179,0,279,0,16
유럽주,이탈리아,남성,13,24,713,0,0,0,3,0,86,0,17,0,10,11,36,37,2,6,1,6,0,10,15,34,0,0,0,7,25,20,19,24,146,0,18,0,0,0
유럽주,이탈리아,여성,20,14,726,0,0,0,3,0,256,0,107,0,5,0,6,3,13,1,2,2,0,0,14,33,0,0,0,4,36,46,45,15,94,0,102,0,0,11
유럽주,스페인,남성,16,25,318,0,0,0,4,2,129,0,8,1,9,3,22,7,4,7,8,11,1,4,25,39,0,0,0,5,15,35,73,15,121,0,21,0,0,2
유럽주,스페인,여성,8,27,330,0,0,1,3,0,217,0,55,0,5,0,5,1,12,2,12,2,0,0,16,30,0,0,0,2,9,44,62,7,115,0,99,0,0,5
유럽주,네덜란드,남성,18,14,379,2,0,0,9,1,130,0,3,0,1,2,22,5,7,3,0,7,8,5,10,33,0,0,0,8,16,22,62,18,95,0,12,0,5,1
유럽주,네덜란드,여성,6,11,337,0,0,1,2,0,160,0,18,0,1,1,1,0,2,0,0,0,0,0,13,8,0,0,0,2,6,34,82,4,40,1,32,0,3,0
유럽주,스웨덴,남성,14,7,225,0,0,0,1,0,72,0,9,0,1,0,22,1,4,4,0,5,3,0,5,18,0,0,0,1,12,10,45,9,65,0,12,0,0,1
유럽주,스웨덴,여성,8,9,223,0,0,1,0,0,107,0,25,0,0,0,5,0,8,0,0,0,0,0,4,11,0,0,0,3,6,18,52,9,38,0,31,0,0,2
유럽주,폴란드,남성,17,11,133,3,0,0,3,1,63,0,5,0,11,0,12,28,2,4,0,6,0,1,11,11,0,0,0,4,7,5,0,7,42,0,4,0,0,0
