국적,연령대,값,데이터기준일자
말리,25-29세,3,2026-05-31
말리,30-34세,7,2026-05-31
말리,35-39세,2,2026-05-31
말리,40-44세,3,2026-05-31
말리,45-49세,0,2026-05-31
말리,50-54세,0,2026-05-31
말리,55-59세,0,2026-05-31
말리,60-64세,0,2026-05-31
말리,65-69세,0,2026-05-31
말리,70-74세,0,2026-05-31
말리,75-79세,0,2026-05-31
말리,80-84세,0,2026-05-31
말리,85-89세,0,2026-05-31
말리,90-94세,0,2026-05-31
멕시코,0-4세,0,2026-05-31
멕시코,05-09세,0,2026-05-31
멕시코,10-14세,0,2026-05-31
멕시코,15-19세,0,2026-05-31
멕시코,20-24세,0,2026-05-31
멕시코,25-29세,0,2026-05-31
멕시코,30-34세,1,2026-05-31
멕시코,35-39세,0,2026-05-31
멕시코,40-44세,1,2026-05-31
멕시코,45-49세,0,2026-05-31
멕시코,50-54세,0,2026-05-31
멕시코,55-59세,0,2026-05-31
멕시코,60-64세,0,2026-05-31
멕시코,65-69세,0,2026-05-31
멕시코,70-74세,0,2026-05-31
멕시코,75-79세,0,2026-05-31
멕시코,80-84세,0,2026-05-31
멕시코,85-89세,0,2026-05-31
멕시코,90-94세,0,2026-05-31
모로코,0-4세,0,2026-05-31
모로코,05-09세,0,2026-05-31
모로코,10-14세,0,2026-05-31
모로코,15-19세,0,2026-05-31
모로코,20-24세,1,2026-05-31
모로코,25-29세,9,2026-05-31
모로코,30-34세,10,2026-05-31
모로코,35-39세,2,2026-05-31
모로코,40-44세,2,2026-05-31
모로코,45-49세,0,2026-05-31
모로코,50-54세,0,2026-05-31
모로코,55-59세,0,2026-05-31
모로코,60-64세,0,2026-05-31
모로코,65-69세,0,2026-05-31
모로코,70-74세,0,2026-05-31
모로코,75-79세,0,2026-05-31
모로코,80-84세,0,2026-05-31
모로코,85-89세,0,2026-05-31
모로코,90-94세,0,2026-05-31
모잠비크,0-4세,0,2026-05-31
모잠비크,05-09세,0,2026-05-31
모잠비크,10-14세,0,2026-05-31
모잠비크,15-19세,1,2026-05-31
모잠비크,20-24세,0,2026-05-31
모잠비크,25-29세,0,2026-05-31
모잠비크,30-34세,0,2026-05-31
모잠비크,35-39세,1,2026-05-31
모잠비크,40-44세,1,2026-05-31
모잠비크,45-49세,0,2026-05-31
모잠비크,50-54세,0,2026-05-31
모잠비크,55-59세,0,2026-05-31
모잠비크,60-64세,0,2026-05-31
모잠비크,65-69세,0,2026-05-31
모잠비크,70-74세,0,2026-05-31
모잠비크,75-79세,0,2026-05-31
모잠비크,80-84세,0,2026-05-31
모잠비크,85-89세,0,2026-05-31
모잠비크,90-94세,0,2026-05-31
몽골,0-4세,0,2026-05-31
몽골,05-09세,5,2026-05-31
몽골,10-14세,2,2026-05-31
몽골,15-19세,1,2026-05-31
몽골,20-24세,6,2026-05-31
몽골,25-29세,6,2026-05-31
몽골,30-34세,3,2026-05-31
몽골,35-39세,8,2026-05-31
몽골,40-44세,8,2026-05-31
몽골,45-49세,2,2026-05-31
몽골,50-54세,2,2026-05-31
몽골,55-59세,0,2026-05-31
몽골,60-64세,0,2026-05-31
몽골,65-69세,0,2026-05-31
몽골,70-74세,0,2026-05-31
몽골,75-79세,0,2026-05-31
몽골,80-84세,0,2026-05-31
몽골,85-89세,0,2026-05-31
몽골,90-94세,0,2026-05-31
미국,0-4세,0,2026-05-31
미국,05-09세,3,2026-05-31
미국,10-14세,7,2026-05-31
미국,15-19세,1,2026-05-31
미국,20-24세,4,2026-05-31
미국,25-29세,9,2026-05-31
미국,30-34세,6,2026-05-31
미국,35-39세,10,2026-05-31
미국,40-44세,9,2026-05-31
미국,45-49세,6,2026-05-31
미국,50-54세,10,2026-05-31
미국,55-59세,8,2026-05-31
미국,60-64세,9,2026-05-31
미국,65-69세,9,2026-05-31
미국,70-74세,1,2026-05-31
미국,75-79세,2,2026-05-31
미국,80-84세,1,2026-05-31
미국,85-89세,0,2026-05-31
미국,90-94세,0,2026-05-31
미얀마,0-4세,3,2026-05-31
미얀마,05-09세,1,2026-05-31
미얀마,10-14세,0,2026-05-31
미얀마,15-19세,0,2026-05-31
미얀마,20-24세,27,2026-05-31
미얀마,25-29세,120,2026-05-31
미얀마,30-34세,263,2026-05-31
미얀마,35-39세,288,2026-05-31
미얀마,40-44세,134,2026-05-31
미얀마,45-49세,15,2026-05-31
미얀마,50-54세,1,2026-05-31
미얀마,55-59세,2,2026-05-31
미얀마,60-64세,0,2026-05-31
미얀마,65-69세,0,2026-05-31
미얀마,70-74세,0,2026-05-31
미얀마,75-79세,0,2026-05-31
미얀마,80-84세,0,2026-05-31
미얀마,85-89세,0,2026-05-31
미얀마,90-94세,0,2026-05-31
방글라데시,0-4세,4,2026-05-31
방글라데시,05-09세,4,2026-05-31
방글라데시,10-14세,3,2026-05-31
방글라데시,15-19세,0,2026-05-31
방글라데시,20-24세,70,2026-05-31
방글라데시,25-29세,82,2026-05-31
방글라데시,30-34세,57,2026-05-31
방글라데시,35-39세,38,2026-05-31
방글라데시,40-44세,30,2026-05-31
방글라데시,45-49세,1,2026-05-31
방글라데시,50-54세,1,2026-05-31
방글라데시,55-59세,0,2026-05-31
방글라데시,60-64세,0,2026-05-31
방글라데시,65-69세,0,2026-05-31
방글라데시,70-74세,0,2026-05-31
방글라데시,75-79세,0,2026-05-31
방글라데시,80-84세,0,2026-05-31
방글라데시,85-89세,0,2026-05-31
방글라데시,90-94세,0,2026-05-31
베네수엘라,0-4세,0,2026-05-31
베네수엘라,05-09세,0,2026-05-31
베네수엘라,10-14세,0,2026-05-31
베네수엘라,15-19세,0,2026-05-31
베네수엘라,20-24세,0,2026-05-31
베네수엘라,25-29세,0,2026-05-31
베네수엘라,30-34세,0,2026-05-31
베네수엘라,35-39세,0,2026-05-31
베네수엘라,40-44세,1,2026-05-31
베네수엘라,45-49세,0,2026-05-31
베네수엘라,50-54세,0,2026-05-31
베네수엘라,55-59세,1,2026-05-31
베네수엘라,60-64세,0,2026-05-31
베네수엘라,65-69세,0,2026-05-31
베네수엘라,70-74세,0,2026-05-31
베네수엘라,75-79세,0,2026-05-31
베네수엘라,80-84세,0,2026-05-31
베네수엘라,85-89세,0,2026-05-31
베네수엘라,90-94세,0,2026-05-31
베트남,0-4세,33,2026-05-31
베트남,05-09세,38,2026-05-31
베트남,10-14세,14,2026-05-31
베트남,15-19세,55,2026-05-31
베트남,20-24세,422,2026-05-31
베트남,25-29세,636,2026-05-31
베트남,30-34세,990,2026-05-31
베트남,35-39세,1057,2026-05-31
베트남,40-44세,529,2026-05-31
베트남,45-49세,121,2026-05-31
베트남,50-54세,49,2026-05-31
베트남,55-59세,57,2026-05-31
베트남,60-64세,33,2026-05-31
베트남,65-69세,10,2026-05-31
베트남,70-74세,3,2026-05-31
베트남,75-79세,0,2026-05-31
베트남,80-84세,0,2026-05-31
베트남,85-89세,0,2026-05-31
베트남,90-94세,0,2026-05-31
벨기에,0-4세,0,2026-05-31
벨기에,05-09세,0,2026-05-31
벨기에,10-14세,0,2026-05-31
벨기에,15-19세,0,2026-05-31
벨기에,20-24세,0,2026-05-31
벨기에,25-29세,0,2026-05-31
벨기에,30-34세,1,2026-05-31
